time,price,sma,rsi,macd,macdSignal,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2020-06-01- 11:40:00,82.58,82.63000000000004,46.97953989744582,0.09835795695781258,0.09116386462564488,93.83951900025629,139.13333333333335,138.76587963254303,139.50078703412368,81.5072322132473,82.60869061569264
2020-06-01- 11:45:00,82.55,82.60000000000004,38.47099535189932,0.08519169418246975,0.08996943053700986,72.84938036801036,139.0466666666667,138.77718156095554,139.31615177237788,81.59422595832,82.57934530784632
2020-06-01- 11:50:00,82.49,82.54000000000003,24.92718206073054,0.06951161717024945,0.08587786786365778,54.745970284862864,139.10666666666668,138.6826121628257,139.53072117050766,81.6751301412376,82.53467265392317
2020-06-01- 11:55:00,82.47,82.50333333333337,21.19610950791093,0.055448263335861725,0.07979194695809858,46.98886706881111,139.3466666666667,138.8934313831534,139.79990195018,81.75037103135097,82.50233632696158
2020-06-01- 12:00:00,82.4,82.45333333333339,11.86915794844832,0.03951090180943595,0.07173573792836604,60.339240124888526,139.48000000000002,139.30336478268018,139.65663521731986,81.8203450591564,82.45116816348079
2020-06-01- 12:05:00,82.61,82.4933333333334,70.4272895550053,0.04203038518744506,0.06579466738018185,69.23948882894014,139.72333333333336,139.14914791999794,140.29751874666877,81.88542090501545,82.53058408174039
2020-06-01- 12:10:00,82.43,82.48000000000006,37.98079384442378,0.029943878173398275,0.05862450953882513,69.43516756691785,139.75333333333336,139.19899689318984,140.30766977347687,81.94594144166437,82.4802920408702
2020-06-01- 12:15:00,82.31,82.45000000000006,26.00161312918003,0.012760659773618954,0.049451739585783895,74.32232375722818,139.72003333333336,139.08997936034567,140.35008730632106,82.00222554074787,82.3951460204351
2020-06-01- 12:20:00,82.36,82.36666666666673,38.18661553687215,0.004434587501165765,0.04044830916886027,79.32643495834832,139.46003333333337,139.13470681704803,139.78535984961871,82.05456975289552,82.37757301021756
2020-06-01- 12:25:00,82.23,82.30000000000007,23.25337690973483,-0.010085463054252841,0.030341554724237645,82.85450939974781,139.25670000000002,139.00667242820222,139.50672757179782,82.10324987019283,82.30378650510877
2020-06-01- 12:30:00,82.09,82.22666666666673,14.250912003137858,-0.02886924117861156,0.018499395543667804,87.58388821001864,139.08333333333337,138.66689339504657,139.49977327162017,82.75,82.19689325255439
2020-06-01- 12:35:00,81.92,82.08000000000008,8.3575228182755,-0.05186816383555026,0.0044258836678241886,90.73714491503615,138.90333333333336,138.65229106157452,139.1543756050922,82.7414,82.0584466262772
2020-06-01- 12:40:00,82.1,82.03666666666673,44.68727123472666,-0.052923244085491206,-0.007043941882838892,92.8393160517145,138.65666666666672,138.20816298161242,139.10517035172103,82.72437,82.0792233131386
2020-06-01- 12:45:00,82.0301,82.01670000000007,36.303961408421706,-0.056587758640205266,-0.016952705234312165,94.24076347616672,138.5466666666667,138.16532400949333,138.9280093238401,82.70768059999999,82.0546616565693
2020-06-01- 12:50:00,81.9602,82.03010000000006,28.331498809870453,-0.061844310658599966,-0.025931026319169728,95.7668468695111,138.44333333333336,138.29697001069752,138.5896966559692,82.69132498799999,82.00743082828464
2020-06-01- 12:55:00,82,81.99676666666673,39.6505263296306,-0.06046804794733873,-0.03283843064480353,71.3587233536092,138.5166666666667,138.45484254360818,138.57849078972524,82.67529648824,82.00371541414232
2020-06-01- 13:00:00,81.9,81.95340000000006,24.855590925452947,-0.06433262554941166,-0.039137269625725155,71.44247723693455,138.43333333333337,138.16783589667492,138.69883076999182,82.65958855847519,81.95185770707116
2020-06-01- 13:05:00,81.76,81.88666666666673,13.9357859998663,-0.0742492236106358,-0.046159660422707284,72.40203251112183,138.30333333333337,137.92024645607415,138.6864202105926,82.63170090172093,81.85592885353557
2020-06-01- 13:10:00,81.81,81.8233333333334,30.332421145953102,-0.07481829332235179,-0.05189138700263619,73.0417360272467,138.2466666666667,138.00983573782162,138.48349759551178,82.5944328656521,81.83296442676779
2020-06-01- 13:15:00,81.77,81.78000000000007,24.688212929739564,-0.07536996165151777,-0.0565871019324125,77.42457155956633,138.28333333333336,138.02290633357143,138.5437603330953,82.558655551026,81.80148221338389
2020-06-01- 13:20:00,82.04,81.8733333333334,73.886738950227,-0.0546947361364829,-0.056208628773226584,56.15709832968185,138.23333333333338,137.8318914875902,138.63477517907654,82.5147227734747,81.92074110669195
2020-06-01- 13:25:00,82.03,81.94666666666674,71.29911723992198,-0.03990181896379852,-0.05294726681134097,47.57464787646478,138.27080000000004,137.80245847222656,138.7391415277735,82.47298663480096,81.97537055334598
