time,price,sma,rsi,macd,macdSignal,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2020-07-01- 12:30:00,97.02,96.95666666666665,91.6787313712336,0.0750857800497613,-0.015146611004795984,86.91244443862392,139.46666666666673,139.13627968825642,139.79705364507703,95.901992,96.91110042522021
2020-07-01- 12:35:00,97.2,97.05999999999999,94.96048620041795,0.10023511959565212,0.00792973511529364,90.80062610678904,139.26000000000008,139.00491831385963,139.51508168614052,95.93793224000001,97.05555021261011
2020-07-01- 12:40:00,97.14,97.11999999999999,79.31942689384043,0.10925698854138943,0.0281951858005128,93.3927472188991,139.0833333333334,138.666893395099,139.4997732715678,95.99641495040001,97.09777510630505
2020-07-01- 12:45:00,97.32,97.21999999999998,88.12280824225482,0.12376686849572138,0.047309522339554516,95.30384368266374,138.9033333333334,138.65229106163252,139.15437560503426,96.05255835238401,97.20888755315252
2020-07-01- 12:50:00,97.5,97.32,92.75129242756275,0.14139245210682816,0.06612610829300924,96.67584123140848,138.65666666666675,138.2081629816449,139.1051703516886,96.12043043476481,97.35444377657626
2020-07-01- 12:55:00,97.9,97.57333333333334,96.84699504004548,0.17550869253099677,0.08800262514060675,97.70907675753557,138.54666666666674,138.1653240095315,138.92800932380197,96.20620460867893,97.62722188828813
2020-07-01- 13:00:00,98,97.80000000000001,97.39826273245158,0.19879857067233786,0.11016181424695297,98.41188677898396,138.4433333333334,138.29697001089642,138.5896966557704,96.33107028607141,97.81361094414407
2020-07-01- 13:05:00,97.75,97.88333333333334,58.82796559919866,0.19023554788768138,0.12617656097509866,98.88730372426927,138.51000000000008,138.46679506278096,138.5532049372192,96.4725846631857,97.78180547207204
2020-07-01- 13:10:00,97.8,97.85000000000001,63.19988551924681,0.18151507826399893,0.1372442644328787,94.97293080767444,138.42666666666673,138.17350883283544,138.67982450049803,96.62355204349899,97.79090273603602
2020-07-01- 13:15:00,97.73,97.76,51.676453002674805,0.1647839972889784,0.14275221100409866,92.3633488632779,138.29666666666674,137.9313965992529,138.66193673408057,96.76093235958407,97.76045136801801
2020-07-01- 13:20:00,97.73,97.75333333333334,51.676453002674805,0.14813930306475243,0.1438296294162294,74.20192615421831,138.24666666666675,138.00983573794454,138.48349759538897,96.88594844722151,97.745225684009
2020-07-01- 13:25:00,98.03,97.83,82.48012029475422,0.15263333154744885,0.14559036984247328,75.23689614802855,138.28333333333342,138.02290633371118,138.54376033295566,96.99971308697157,97.8876128420045
2020-07-01- 13:30:00,98.61,98.12333333333333,93.84964032958993,0.19003082613700428,0.15447846110137947,82.18784071171763,138.2333333333334,137.83189148762648,138.63477517904033,97.10323890914412,98.24880642100226
2020-07-01- 13:35:00,97.86,98.16666666666667,41.54958060951523,0.1568640208280243,0.15495557304670843,69.99316692691117,138.27000000000007,137.80323810500968,138.73676189499045,97.30691501822972,98.05440321050114
2020-07-01- 13:40:00,98.5,98.32333333333334,65.88454482513531,0.17343410551089278,0.1586512795395453,61.86338440370687,138.78000000000006,137.1472518055074,140.4127481944927,97.34,98.27720160525057
