time,o,c,h,l,t,rsi,macd,macdSignal,macdHist,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2021-01-11- 16:30:00,185.46,185.46,185.81,185.3,1610382600,69.17324412133556,0.03478142615546176,-0.010480616598573494,0.04526204275403525,48.436592915309824,185.49000000000015,185.44101020338695,185.53898979661335,186.4254833916,185.31826270133655
2021-01-11- 16:35:00,185.51,185.83,185.89,185.29,1610382900,79.09409289172577,0.08124479369317328,0.00786446545977586,0.07338032823339742,49.857320511552246,185.6033333333335,185.27905635958112,185.92761030708587,186.39512855768402,185.57413135066827
2021-01-11- 16:40:00,185.81,185.26,185.81,185.08,1610383200,45.360471910452006,0.07007129049344485,0.02030583046650966,0.04976546002693519,37.16935954766276,185.51666666666685,185.04441437991295,185.98891895342075,186.3650772721072,185.41706567533413
2021-01-11- 16:45:00,185.35,185.25,185.55,184.89,1610383500,44.85701112676666,0.0596384280289044,0.02817234997898861,0.03146607804991579,30.78398888807475,185.44666666666683,184.90448998355555,185.9888433497781,186.33532649938613,185.33353283766706
2021-01-11- 16:50:00,185.23,185.16,185.51,184.95,1610383800,39.01159353207962,0.04457958938030515,0.03145379785925192,0.013125791521053233,26.52707511501608,185.22333333333347,185.13339508192658,185.31327158474036,186.30587323439227,185.24676641883354
2021-01-11- 16:55:00,185.13,185.71,185.76,185.12,1610384100,72.2088839101706,0.07075182071821473,0.03931340243104448,0.03143841828717025,29.033596642445318,185.37333333333348,184.89157728609217,185.85508938057478,186.27671450204835,185.4783832094168
2021-01-11- 17:00:00,185.79,185.87,186.19,185.64,1610384400,77.54293230408076,0.09649758593315028,0.05075023913146564,0.04574734680168464,42.40697426282959,185.58000000000015,184.9718333560203,186.18816664398,186.24784735702787,185.6741916047084
2021-01-11- 17:05:00,185.9,185.77,185.91,185.42,1610384700,65.71781736548678,0.10330471052989765,0.06126113341115204,0.04204357711874561,34.969328264719614,185.7833333333335,185.65134006688854,185.91532659977847,186.21926888345757,185.7220958023542
2021-01-11- 17:10:00,185.79,185.61,185.97,185.41,1610385000,48.10987461411399,0.09331265712671666,0.06767143815426496,0.025641218972451696,32.83595506278987,185.75000000000014,185.53583495409964,185.96416504590064,186.190976194623,185.6660479011771
2021-01-11- 17:15:00,185.71,185.6,185.89,185.45,1610385300,46.931029245368734,0.08286275336132576,0.07070970119567713,0.012153052165648631,31.413706261503375,185.66000000000017,185.5042223801405,185.81577761985983,186.16296643267677,185.63302395058855
2021-01-11- 17:20:00,185.72,185.98,186.08,185.58,1610385600,77.8573146955886,0.09913545760591091,0.07639485247772389,0.022740605128187028,40.714175955513895,185.73000000000016,185.37635234087367,186.08364765912665,186.13523676835,185.80651197529426
2021-01-11- 17:25:00,185.9,186.14,186.14,185.77,1610385900,83.81449750371472,0.11739576868635027,0.08459503571944917,0.0328007329669011,49.21125458185569,185.90666666666684,185.4537256598529,186.35960767348078,183.39,185.97325598764712
2021-01-11- 17:30:00,186.17,186.78,186.94,186.12,1610386200,93.80866121285734,0.16916039157905516,0.10150810689137037,0.06765228468768479,63.57314324441032,186.30000000000015,185.6087209920743,186.991279007926,183.4175,186.37662799382355
2021-01-11- 17:35:00,186.78,186.33,186.78,186.33,1610386500,56.81088476866354,0.16667521548012587,0.11454152860912147,0.052133686871004406,73.14773568611339,186.41666666666683,185.8799275409867,186.95340579234696,183.48794999999998,186.35331399691177
2021-01-11- 17:40:00,186.37,186.45,186.62,186.3,1610386800,62.695919343290655,0.16754650247551695,0.12514252338240056,0.042403979093116384,75.6105894469352,186.52000000000012,186.13947404794988,186.90052595205037,183.55699099999998,186.40165699845588
2021-01-11- 17:45:00,186.48,186.69,186.85,186.44,1610387100,73.52040562362393,0.17880208443060042,0.13587443559204054,0.04292764883855987,79.93142978738837,186.49000000000015,186.19066740880413,186.78933259119617,183.62465117999997,186.54582849922792
2021-01-11- 17:50:00,186.69,186.55,186.88,186.45,1610387400,58.633489339172144,0.17052406283076493,0.14280436103978542,0.027719701790979517,83.09670454967944,186.5633333333335,186.3664690255825,186.76019764108452,183.69095815639997,186.54791424961397
2021-01-11- 17:55:00,186.57,186.155,186.671,185.92,1610387700,31.57510121209235,0.1322377045870553,0.1406910297492394,-0.008453325162184083,67.54835513284628,186.46500000000017,186.01193635457898,186.91806364542137,183.75593899327197,186.35145712480698
2021-01-11- 18:00:00,186.165,186.14,186.46,185.98,1610388000,30.766345216932557,0.1014941113980683,0.13285164607900518,-0.03135753468093688,57.1827888549575,186.28166666666684,185.9019884401437,186.66134489318998,183.81962021340652,186.24572856240349
